sections,Title,description,Punishment
1,Title and extent,Title and territorial extent of IPC.,No punishment.
2,Punishment under IPC,Punishment for offenses under IPC.,As prescribed in IPC for respective crimes.
3,Punishment of offenses outside India,Punishment for crimes committed outside India.,Same as if committed within India.
4,Extension to extra-territorial offenses,Applies to offenses by Indian citizens abroad.,Same as if committed in India.
5,Exclusion of special laws,IPC does not override special or local laws.,No punishment.
6,Definition of offense,Acts defined as offenses under IPC.,No punishment.
7,Sense of expression once explained,Interpretation of terms used in IPC.,No punishment.
8,Gender definition,'He' includes 'She' unless stated otherwise.,No punishment.
9,Number definition,Singular includes plural and vice versa.,No punishment.
10,Man and Woman,Definition of 'Man' and 'Woman' in IPC.,No punishment.
11,Person definition,Includes companies;associations , etc'No punishment.
12,Public definition,Refers to the general population.,No punishment.
13,Queen definition,Omitted after India became a republic.,No punishment.
14,Servant of Government,Definition of public servants.,No punishment.
15,British India definition,Omitted after independence.,No punishment.
16,Definition of Government,Definition of Central and State Government.,No punishment.
17,Definition of Government of India,Definition of Indian Government.,No punishment.
18,Definition of India,Territory of India.,No punishment.
19,Definition of Judge,Definition of Judge under IPC.,No punishment.
20,Definition of Court of Justice,Definition of Court under IPC.,No punishment.
21,Definition of Public Servant,Who is considered a public servant.,No punishment.
22,Movable Property,Definition of movable property.,No punishment.
23,Wrongful gain,Gaining property unlawfully.,No punishment.
24,Dishonestly,Doing an act with dishonest intent.,Punishable depending on crime.
25,Fraudulently,Doing an act with fraudulent intent.,Punishable depending on crime.
26,Reason to believe,Having sufficient reason to believe something.,No punishment.
27,Property in possession of others,Property possession rights.,No punishment.
28,Counterfeit,Making a fraudulent imitation.,Punishable under forgery laws.
29,Document,Definition of document.,No punishment.
30,Valuable Security,Definition of valuable security.,No punishment.
31,A will,Definition of a will.,No punishment.
32,Words referring to acts,Interpretation of acts.,No punishment.
33,Act Omission,Definition of act and omission.,No punishment.
34,Acts done by several persons in furtherance of common intention,Liability for collective actions.,Punishable as the main offense.
35,Act done with criminal knowledge,Intent and knowledge in crime.,Punishable depending on crime.
36,Effect caused partly by act and partly by omission,Combined effect of act and omission.,Punishable as per act.
37,Co-operation in crime,Cooperating in an offense.,Punishable as per main offense.
38,Persons concerned in criminal act,Participation in crime.,Punishable as per main offense.
39,Voluntarily,Definition of voluntary acts.,No punishment.
40,Offense,Definition of offense.,No punishment.
41,Special law,Definition of special law.,No punishment.
42,Local law,Definition of local law.,No punishment.
43,Illegal,Definition of illegal acts.,Punishable depending on crime.
44,Injury,Definition of injury.,No punishment.
45,Life,Definition of life.,No punishment.
46,Death,Definition of death.,No punishment.
47,Animal,Definition of animal.,No punishment.
48,Vessel,Definition of vessel.,No punishment.
49,Year; Month,Definition of year and month.,No punishment.
50,Section,Definition of section.,No punishment.
51,Oath,Definition of oath.,No punishment.
52,Good faith,Acts done in good faith.,No punishment.
53,Punishments,Types of punishments under IPC.,No punishment.
54,Commutation of sentence,Reduction of punishment.,No punishment.
55,Commutation of life imprisonment,Reduction of life imprisonment.,No punishment.
56,Omitted,Section removed.,No punishment.
57,Fractions of punishment,Interpretation of life imprisonment.,No punishment.
58,Omitted,Section removed.,No punishment.
59,Omitted,Section removed.,No punishment.
60,Sentence may be in certain cases,Power to impose alternative sentences.,No punishment.
61,Omitted,Section removed.,No punishment.
62,Omitted,Section removed.,No punishment.
63,Amount of fine,Determination of fine amount.,As per offense.
64,Imprisonment for non-payment of fine,Punishment for defaulting fine payment.,Imprisonment as per law.
65,Limit to imprisonment for fine,Maximum imprisonment for default.,Up to one-fourth of maximum sentence.
66,Description of imprisonment for non-payment of fine,Nature of imprisonment.,Rigorous or simple imprisonment.
67,Imprisonment for non-payment when offense punishable with fine only,For offenses with fine only.,Up to six months.
68,Termination of imprisonment on payment of fine,Release upon fine payment.,No punishment after payment.
69,Termination of imprisonment on part payment,Reduction in imprisonment on part payment.,Punishment reduced accordingly.
70,Fine to be recoverable within six years,Recovery period for fines.,No punishment.
71,Limit to punishment for offenses made up of several offenses,Punishment limitations.,Punishable for highest offense.
72,Punishment of offense committed with different intention,Punishment based on intent.,As per law.
73,Solitary confinement,Definition and limits.,Up to one month at a time.
74,Limit of solitary confinement,Maximum duration allowed.,Not exceeding three months.
75,Enhanced punishment for repeat offenders,Harsher penalties for repeat criminals.,Extended imprisonment.
76,Act done by person bound by law,No offense if done under legal duty.,No punishment.
77,Act done by judge,Protection for judges acting in official capacity.,No punishment.
78,Act done under judgment or order,Protection for acts under court orders.,No punishment.
79,Act done by mistake of fact,No offense if act done by mistake of fact.,No punishment.
80,Accident in doing lawful act,Protection for accidental acts.,No punishment.
81,Act likely to cause harm, but done without criminal intent; No offense if act was necessary.,No punishment.
82,Act of child under seven years of age,Children below seven not liable.,No punishment.
83,Act of child above seven and under twelve,Limited liability for children 7-12.,No punishment if immature understanding.
84,Act of a person of unsound mind,Defense for insanity.,No punishment.
85,Act done under intoxication,No offense if intoxicated involuntarily.,No punishment.
86,Offense requiring intent committed by intoxicated person,Intoxication not a defense for intent-based crimes.,Punishable as per crime.
87,Act not intended to cause death; done with consent,No offense if done with consent and no serious harm.,No punishment.
88,Act done in good faith for benefit,No offense if act is in good faith.,No punishment.
89,Act done for benefit of child or insane person,Protection for acts done for their benefit.,No punishment.
90,Consent given under fear or misunderstanding,Invalid consent due to coercion or misbelief.,Punishable as per crime.
91,Exclusion of acts that are offenses independently,Certain acts remain offenses despite consent.,Punishable as per law.
92,Act done in good faith without consent,Protection for urgent medical acts.,No punishment.
93,Communication in good faith,Protection for truthful communication.,No punishment.
94,Act done under compulsion,No offense if done under threat of death.,No punishment.
95,Trivial acts not punishable,Minor offenses not punishable.,No punishment.
96,Right of private defense,Legal self-defense.,No punishment.
97,Subjects of private defense,Self and property defense rights.,No punishment.
98,Right of private defense against insane person,Defense against legally irresponsible attackers.,No punishment.
99,Acts against right of private defense,Limits of private defense.,Punishable if exceeded.
100,When the right of private defense extends to causing death,Circumstances allowing self-defense killings.,No punishment if justified.
101,When the right of private defense extends to causing harm,Self-defense causing harm but not death.,No punishment if justified.
102,Commencement and continuation of the right of private defense,When self-defense begins and ends.,No punishment.
103,Right of private defense of property,Protection of property rights.,No punishment if justified.
104,When the right of private defense extends to causing harm to property,Limitations on property defense.,Punishable if exceeded.
105,Commencement and continuation of the right of private defense of property,When defense of property starts and ends.,No punishment.
106,Right of private defense against deadly assault,Defense against life-threatening attacks.,No punishment if justified.
107,Abetment of a thing,Definition of abetment.,Punishable as per abetted crime.
108,Abettor,Definition of an abettor.,Punishable as per crime abetted.
109,Punishment of abetment,Liability of abettor.,Same as the main offense.
110,Punishment of abetment when act done with different intent,Abetment with different intent.,Punishable accordingly.
111,Liability of abettor when different act is committed,Abettor liable if a different crime occurs.,Punishable as per crime committed.
112,Abettor when liability is enhanced,Stronger punishment if abetted crime is serious.,Punishable with enhanced punishment.
113,Liability of abettor when effect is different from intended,If the crime results in unintended harm.,Punishable as per actual harm caused.
114,Abettor present when offense is committed,Abettor's liability when present at crime scene.,Same as the main offense.
115,Abetment of an offense punishable with death or life imprisonment,Serious abetment leading to grave crime.,Up to 7 years imprisonment or fine.
116,Abetment of offense punishable with imprisonment,Abetting an imprisonable offense.,Punishable with half the imprisonment term.
117,Abetting commission of offense by the public,Encouraging public to commit crime.,Up to 3 years imprisonment or fine or both.
118,Concealing design to commit offense punishable with death or life imprisonment,Hiding knowledge of serious crime.,Up to 10 years imprisonment and fine.
119,Public servant concealing design to commit offense,Public servant failing to act on crime.,Up to 10 years imprisonment and fine.
120,Concealing design to commit offense punishable with imprisonment,Hiding knowledge of an offense.,Up to one-fourth of the longest imprisonment term.
120A,Definition of criminal conspiracy,Agreement between persons to commit a crime.,No punishment.
120B,Punishment for criminal conspiracy,Punishment for conspiracy.,Same as the main offense or up to 6 months imprisonment.
121,Waging war against the Government of India,Committing war against the nation.,Death or life imprisonment and fine.
122,Collecting arms with intent to wage war,Gathering arms against India.,Life imprisonment or up to 10 years and fine.
123,Concealing intention to wage war,Hiding knowledge of war plans.,Up to 10 years imprisonment and fine.
124,Assaulting President; Governor; etc.,Assaulting President; Governor, etc.Up to 7 years imprisonment and fine.
125,Waging war against a friendly power,War against a foreign ally.,Life imprisonment or fine.
126,Committing depredation on a territory of a friendly power,Attacking territories of friendly nations.,Up to 7 years imprisonment and fine.
127,Receiving property from enemy,Possessing property from hostile forces.,Up to 7 years imprisonment and fine.
128,Public servant aiding prisoner escape,Allowing an enemy prisoner to escape.,Life imprisonment or up to 10 years and fine.
129,Public servant negligently allowing escape,Negligence in prisoner handling.,Up to 3 years imprisonment and fine.
130,Aiding escape of prisoner of war,Helping war prisoners escape.,Life imprisonment or up to 10 years and fine.
131,Abetting mutiny in armed forces,Encouraging revolt in the military.,Death or life imprisonment.
132,Abetting mutiny if mutiny is committed,If abetted mutiny succeeds.,Death or life imprisonment.
133,Abetment of assault by a soldier on superior officer,Encouraging attack on senior military officers.,Up to 10 years imprisonment and fine.
134,Abetment of desertion from armed forces,Encouraging soldiers to abandon duty.,Up to 7 years imprisonment and fine.
135,Abetment of an act prejudicial to military discipline,Interfering in military order.,Up to 6 months imprisonment or fine.
136,Harboring a deserter,Providing shelter to military deserters.,Up to 2 years imprisonment and fine.
137,Deserter found in possession of arms,Possessing weapons after desertion.,Up to 2 years imprisonment or fine.
138,Abetment of an act prejudicial to military discipline,Encouraging indiscipline in armed forces.,Up to 6 months imprisonment or fine.
139,Persons subject to military law,Applicability of military laws.,No punishment.
140,Wearing unauthorized military uniforms,Impersonating military personnel.,Up to 3 months imprisonment or fine.
141,Unlawful assembly,Group assembled to commit an illegal act.,Up to 6 months imprisonment or fine.
142,Being a member of an unlawful assembly,Participating in an illegal gathering.,Up to 6 months imprisonment or fine.
143,Punishment for unlawful assembly,Punishment for being part of unlawful assembly.,Up to 6 months imprisonment or fine.
144,Joining an unlawful assembly with deadly weapons,Armed unlawful gathering.,Up to 2 years imprisonment or fine.
145,Continuing in an unlawful assembly after order to disperse,Failure to disperse upon orders.,Up to 2 years imprisonment or fine.
146,Rioting,Engaging in violent unlawful assembly.,Up to 2 years imprisonment or fine.
147,Punishment for rioting,Penalty for participating in riots.,Up to 2 years imprisonment or fine.
148,Rioting with a deadly weapon,Using deadly weapons in a riot.,Up to 3 years imprisonment or fine.
149,Every member of unlawful assembly guilty of offense committed,All members liable for group crimes.,Punishable as per crime committed.
150,Hiring persons to join unlawful assembly,Recruiting for unlawful activities.,Punishable as per assembly's crime.
150,Hiring for unlawful assembly,Hiring; engaging,Punishable as per assembly's crime.
151,Knowingly joining unlawful assembly,Joining or continuing in unlawful assembly knowing it has been commanded to disperse.,Up to 6 months imprisonment
